,Symbol,Name,Exchange,industry,sector,dividendRate,exDividendDate,lastSplitDate,lastSplitFactor,upcoming_earnings_date,previous_earnings_date
3742,BDL,"Flanigans Enterprises, Inc",AMEX,Restaurants,Consumer Cyclical,,1584576000.0,923270400.0,2:1,2020-02-11,2020-06-27 00:00:00
3743,BDR,"Blonder Tongue, Inc",AMEX,Communication Equipment,Technology,,,,,2020-08-07,2020-06-30 00:00:00
3744,BGI,"Birks Group, Inc",AMEX,Luxury Goods,Consumer Cyclical,,,,,2020-06-19,2020-03-28 00:00:00
3745,BHB,"Bar Harbor Bankshares, Inc",AMEX,Banks—Regional,Financial Services,0.88,1597622400.0,1490140800.0,3:2,2020-07-27,2020-06-30 00:00:00
3746,BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,AMEX,Agricultural Inputs,Basic Materials,,,,,2020-05-12,2020-03-31 00:00:00
3747,BKTI,"BK Technologies, Inc",AMEX,Communication Equipment,Technology,0.08,1593648000.0,677116800.0,5:4,2020-11-10,2020-06-30 00:00:00
3748,BRBS,"Blue Ridge Bankshares, Inc.",AMEX,Banks—Regional,Financial Services,0.57,1595462400.0,1502668800.0,3:2,,2020-06-30 00:00:00
3749,BRG,"Bluerock Residential Growth REIT, Inc",AMEX,REIT—Residential,Real Estate,0.65,1592956800.0,1274054400.0,10:1,2020-08-10,2020-06-30 00:00:00
3750,BRN,"Barnwell Industries, Inc",AMEX,Oil & Gas E&P,Energy,,1220486400.0,1132012800.0,3:1,2020-08-11,2020-06-30 00:00:00
3751,BTN,"Ballantyne Strong, Inc",AMEX,Leisure,Consumer Cyclical,,,918604800.0,1:1,2020-08-12,2020-06-30 00:00:00
3752,CANF,CAN-Fite Biopharma Ltd ADR,AMEX,Biotechnology,Healthcare,,,,,,2020-06-30 00:00:00
3753,CCF,Chase Corp,AMEX,Specialty Chemicals,Basic Materials,0.8,1574640000.0,1182988800.0,2:1,2020-07-08,2020-05-31 00:00:00
3754,CDOR,"Condor Hospitality Trust, Inc",AMEX,REIT—Hotel & Motel,Real Estate,0.78,1577404800.0,1489622400.0,153:1000,2020-05-14,2020-06-30 00:00:00
3755,CEI,"Camber Energy, Inc",AMEX,Oil & Gas E&P,Energy,,,,,2020-08-19,2020-06-30 00:00:00
3756,CET,Central Securities Corp,AMEX,Asset Management,Financial Services,1.35,1591920000.0,,,2020-02-07,2020-06-30 00:00:00
3757,CEV,"EV CA Muni, Income",AMEX,Asset Management,Financial Services,0.57,1597190400.0,,,,2020-05-31 00:00:00
3758,CHAQ,Chardan Healthcare Acquisition 2 Corp.,AMEX,Shell Companies,Financial Services,,,,,,2020-06-30 00:00:00
3759,CIX,"CompX Intl, Inc",AMEX,Security & Protection Services,Industrials,0.4,1598832000.0,,,2020-10-28,2020-06-30 00:00:00
3760,CKX,"CKX Lands, Inc",AMEX,Oil & Gas E&P,Energy,,1522800000.0,,,,2020-06-30 00:00:00
3761,CLM,"Cornerstone Strategic Value Fund, Inc",AMEX,Asset Management,Financial Services,2.22,1600041600.0,1419811200.0,1:4,2020-02-28,2020-06-30 00:00:00
3762,CMCL,Caledonia Mining Corp Plc,AMEX,Gold,Basic Materials,0.34,1594857600.0,1498521600.0,1:5,2020-05-12,2020-06-30 00:00:00
3763,CMT,"Core Molding Technologies, Inc",AMEX,Specialty Chemicals,Basic Materials,,1526860800.0,1383782400.0,5:1,2020-05-11,2020-06-30 00:00:00
3764,COHN,"Cohen & Co, Inc",AMEX,Capital Markets,Financial Services,,1558396800.0,,,2020-08-07,2020-06-30 00:00:00
3765,CPHI,"China Pharma Holdings, Inc",AMEX,Drug Manufacturers—Specialty & Generic,Healthcare,,,1060905600.0,1000:21804,2020-08-14,2020-06-30 00:00:00
3766,CQP,Cheniere Energy Partners LP,AMEX,Oil & Gas Midstream,Energy,2.58,1596672000.0,,,2020-10-30,2020-06-30 00:00:00
3767,CRF,"Cornerstone Total Return Fund, Inc",AMEX,Asset Management,Financial Services,2.16,1600041600.0,1419811200.0,1:4,,2020-06-30 00:00:00
3768,CRHM,CRH Medical Corp,AMEX,Medical Instruments & Supplies,Healthcare,,,,,,2020-06-30 00:00:00
3769,CRMD,"CorMedix, Inc",AMEX,Biotechnology,Healthcare,,,1553558400.0,1:5,2020-08-10,2020-06-30 00:00:00
3770,CTEK,"CynergisTek, Inc",AMEX,Information Technology Services,Technology,,,1484265600.0,1:3,2020-08-13,2020-06-30 00:00:00
3771,CTO,"CTO Realty Growth, Inc.",AMEX,Real Estate—Development,Real Estate,1.6,1597363200.0,,,2020-07-30,2020-06-30 00:00:00
3772,CVM,Cel-Sci Corp,AMEX,Biotechnology,Healthcare,,841190400.0,1497484800.0,1:25,2020-05-11,2020-06-30 00:00:00
3773,DIT,AMCON Distributing Co,AMEX,Food Distribution,Consumer Defensive,0.72,1596067200.0,1084752000.0,1:6,2020-07-20,2020-06-30 00:00:00
3774,DLA,"Delta Apparel, Inc",AMEX,Apparel Manufacturing,Consumer Cyclical,,1188172800.0,1117584000.0,2:1,2020-07-30,2020-06-27 00:00:00
3775,DMF,BNY Mellon Municipal Income Inc.,AMEX,Asset Management,Financial Services,0.42,1597276800.0,,,,2020-03-31 00:00:00
3776,DNN,Denison Mines Corp,AMEX,Uranium,Energy,,,1481068800.0,1:1,,2020-06-30 00:00:00
3777,DPW,"DPW Holdings, Inc",AMEX,Electrical Equipment & Parts,Industrials,,,1565049600.0,1:40,2020-06-30,2020-06-30 00:00:00
3778,DSS,"Document Security Systems, Inc",AMEX,Specialty Business Services,Industrials,,,1588896000.0,1:30,2020-11-11,2020-06-30 00:00:00
3779,DXF,Dunxin Financial Holdings Ltd ADS,AMEX,Credit Services,Financial Services,,,1514505600.0,1:3,2019-05-16,2019-06-30 00:00:00
3780,DXR,Daxor Corp,AMEX,Asset Management,Financial Services,,1515110400.0,,,,2020-06-30 00:00:00
3781,EAD,"Wells Fargo, Income Opportunities Fund",AMEX,Asset Management,Financial Services,0.68,1599782400.0,,,,2020-04-30 00:00:00
3782,ECF,Ellsworth Growth and Income Fund,AMEX,Asset Management,Financial Services,0.52,1600128000.0,,,2016-01-22,2020-03-31 00:00:00
3783,EIM,EV Muni-Bond,AMEX,Asset Management,Financial Services,0.6,1597968000.0,,,,2020-03-31 00:00:00
3784,ELA,Envela Corporation,AMEX,Specialty Retail,Consumer Cyclical,,,,,2020-11-10,2020-06-30 00:00:00
3785,ELLO,Ellomay Capital Ltd,AMEX,Utilities—Renewable,Utilities,,1459728000.0,1307577600.0,1:10,2020-09-24,2020-03-31 00:00:00
3786,ELMD,"Electromed, Inc",AMEX,Medical Devices,Healthcare,,,,,2020-08-25,2020-06-30 00:00:00
3787,EMAN,eMagin Corp,AMEX,Semiconductor Equipment & Materials,Technology,,1355788800.0,,,2020-08-13,2020-06-30 00:00:00
3788,EMX,EMX Royalty Corp (Canada),AMEX,Other Industrial Metals & Mining,Basic Materials,,,,,,2020-06-30 00:00:00
3789,ENSV,Enservco Corp,AMEX,Oil & Gas Equipment & Services,Energy,,1259798400.0,763948800.0,1:5,2020-11-11,2020-06-30 00:00:00
3790,EPM,"Evolution Petroleum Corp, Inc",AMEX,Oil & Gas E&P,Energy,0.1,1600041600.0,1075939200.0,1:40,2020-09-09,2020-03-31 00:00:00
3791,EQX,Equinox Gold Corp.,AMEX,Gold,Basic Materials,,,1566259200.0,1:5,,2020-06-30 00:00:00
3792,ERC,"Wells Fargo Multi-Sector, Income Fund",AMEX,Asset Management,Financial Services,1.13,1599782400.0,,,,2020-04-30 00:00:00
3793,ERH,"Wells Fargo Util & High, Income",AMEX,Asset Management,Financial Services,0.87,1599782400.0,,,,2020-02-29 00:00:00
3794,ESP,Espey MFG & Electronics Corp,AMEX,Electrical Equipment & Parts,Industrials,1.0,1592438400.0,1136246400.0,2:1,2020-05-14,2020-03-31 00:00:00
3795,EVBN,"Evans Bancorp, Inc",AMEX,Banks—Regional,Financial Services,1.16,1600041600.0,1131580800.0,105:100,2020-07-29,2020-06-30 00:00:00
3796,EVI,"EnviroStar, Inc",AMEX,Industrial Distribution,Industrials,,1545609600.0,,,2020-05-11,2020-03-31 00:00:00
3797,EVV,"EV Ltd Duration, Income Fund",AMEX,Asset Management,Financial Services,1.2,1597190400.0,,,,2020-03-31 00:00:00
3798,FAX,"Aberdeen Asia-Pacific, Income Fund, Inc",AMEX,Asset Management,Financial Services,0.33,1597881600.0,,,,2020-04-30 00:00:00
3799,FCO,"Aberdeen Global, Income Fund, Inc",AMEX,Asset Management,Financial Services,0.84,1597881600.0,,,,2020-04-30 00:00:00
3800,FEN,"First Trust Energy, Income&Growth Fund",AMEX,Asset Management,Financial Services,1.2,1595376000.0,,,,2020-05-31 00:00:00
3801,FRD,"Friedman Industries, Inc",AMEX,Steel,Basic Materials,0.08,1594857600.0,956707200.0,105:100,2020-06-29,2020-06-30 00:00:00
3802,FSI,"Flexible Solutions Intl, Inc",AMEX,Specialty Chemicals,Basic Materials,,1569801600.0,,,2020-08-17,2020-06-30 00:00:00
3803,FSP,Franklin Street Properties Corp,AMEX,REIT—Office,Real Estate,0.36,1594857600.0,,,2020-10-27,2020-06-30 00:00:00
3804,FTSI,"FTS International, Inc.",AMEX,Oil & Gas Equipment & Services,Energy,,,,,2020-08-10,2020-06-30 00:00:00
3805,GAU,Galiano Gold Inc.,AMEX,Gold,Basic Materials,,,,,,2020-06-30 00:00:00
3806,GBR,"New Concept Energy, Inc",AMEX,Oil & Gas E&P,Energy,,,1067385600.0,2:1,2020-05-13,2020-06-30 00:00:00
3807,GDP,Goodrich Petroleum Corp,AMEX,Oil & Gas E&P,Energy,,,,,2020-08-11,2020-06-30 00:00:00
3808,GGN,Gamco Global Gold Natural Resources & Income Trust,AMEX,Asset Management,Financial Services,0.36,1600128000.0,,,,2019-12-31 00:00:00
3809,GLO,Clough Global Opportunities Fund,AMEX,Asset Management,Financial Services,1.08,1600300800.0,,,,2020-04-30 00:00:00
3810,GLQ,Clough Global Equity,AMEX,Asset Management,Financial Services,1.32,1600300800.0,,,,2020-04-30 00:00:00
3811,GLU,Gabelli Global Util & Income Trust,AMEX,Asset Management,Financial Services,1.2,1600128000.0,,,,2019-12-31 00:00:00
3812,GMO,"General Moly, Inc",AMEX,Other Industrial Metals & Mining,Basic Materials,,,,,2017-05-03,2020-06-30 00:00:00
3813,GOED,1847 Goedeker Inc.,AMEX,Internet Retail,Consumer Cyclical,,,,,,Open
3814,GORO,Gold Resource Corp,AMEX,Gold,Basic Materials,0.04,1599696000.0,,,2020-08-05,2020-06-30 00:00:00
3815,GPL,Great Panther Silver Ltd,AMEX,Other Industrial Metals & Mining,Basic Materials,,,,,,2020-06-30 00:00:00
3816,GRF,"Eagle Capital Growth Fund, Inc",AMEX,Asset Management,Financial Services,0.56,1574294400.0,1115769600.0,115:100,,2020-06-30 00:00:00
3817,GSAT,"Globalstar, Inc",AMEX,Telecom Services,Communication Services,,,,,2020-11-10,2020-06-30 00:00:00
3818,GSS,"Golden Star Resources, Ltd",AMEX,Gold,Basic Materials,,,,,,2020-06-30 00:00:00
3819,GSV,Gold Standard Ventures Corp,AMEX,Gold,Basic Materials,,,1258502400.0,1:4,,2020-06-30 00:00:00
3820,GTE,"Gran Tierra Energy, Inc",AMEX,Oil & Gas E&P,Energy,,,1126483200.0,3:1,2020-08-05,2020-06-30 00:00:00
3821,GV,Goldfield Corp,AMEX,Engineering & Construction,Industrials,,,,,2020-08-05,2020-06-30 00:00:00
3822,HMG,"HMG/Courtland Properties, Inc",AMEX,REIT—Retail,Real Estate,0.5,1577404800.0,,,,2020-06-30 00:00:00
3823,HNW,Pioneer Diversified High Income Trust,AMEX,Asset Management,Financial Services,1.23,1597708800.0,,,,2020-04-30 00:00:00
3824,HUSA,Houston American Energy Corp,AMEX,Oil & Gas E&P,Energy,,1292371200.0,1596412800.0,8:100,2020-11-12,2020-06-30 00:00:00
3825,IAF,"Aberdeen Australia Equity Fund, Inc",AMEX,Asset Management,Financial Services,0.48,1597881600.0,,,,2020-04-30 00:00:00
3826,IBIO,"iBio, Inc",AMEX,Biotechnology,Healthcare,,,1528675200.0,1:10,2020-08-13,2020-03-31 00:00:00
3827,IGC,India Globalization Capital Inc.,AMEX,Conglomerates,Industrials,,,1366329600.0,1:10,2020-11-04,2020-06-30 00:00:00
3828,IHT,InnSuites Hospitality Trust,AMEX,REIT—Hotel & Motel,Real Estate,0.02,1594771200.0,,,2019-07-24,2020-01-31 00:00:00
3829,IMH,"Impac MTG Holdings, Inc",AMEX,Mortgage Finance,Financial Services,,1175644800.0,1231718400.0,1:10,2020-11-05,2020-06-30 00:00:00
3830,IMO,Imperial Oil,AMEX,Oil & Gas Integrated,Energy,0.66,1599091200.0,1148947200.0,3:1,2017-01-31,2020-06-30 00:00:00
3831,INDO,Indonesia Energy Corporation Limited,AMEX,Oil & Gas E&P,Energy,,,,,,2019-12-31 00:00:00
3832,INFU,"InfuSystems Holdings, Inc",AMEX,Medical Instruments & Supplies,Healthcare,,,,,2020-08-13,2020-06-30 00:00:00
3833,INS,Intelligent Systems Corp,AMEX,Software—Application,Technology,,1453852800.0,415843200.0,2:1,2020-08-04,2020-06-30 00:00:00
3834,INTT,inTest Corp,AMEX,Semiconductors,Technology,,1354752000.0,,,2020-08-06,2020-06-30 00:00:00
